field	value	known_to_og_impkimmo
root	`admiralty	NO
root	ad`mire	NO
root	ad`mit	NO
root	ad`mix	NO
root	ad`mixture	NO
root	ad`monish	NO
root	ad-nauseum	NO
root	a`dobe	NO
root	ado`lescent	NO
root	a`do	NO
root	a`dopt	NO
root	a`dore	NO
root	a`dorn	NO
root	a`drenaline	NO
root	ad`renal	NO
root	Adri`atic	NO
root	a`droit	NO
root	ad`sorbate	NO
root	ad`sorb	NO
root	`adulate	NO
root	a`dulterate	NO
root	a`dultery	NO
root	a`dult	NO
root	a`dumbrate	NO
root	ad`vance	NO
root	ad`vantage	NO
root	adven`titious	NO
root	`advent	NO
root	`Advent	NO
root	ad`venture	NO
root	`adverb	NO
root	`adversary	NO
root	ad`verse	NO
root	`advertise	NO
root	ad`vert	NO
root	ad`vice	NO
root	ad`vise	NO
root	`advocate	NO
root	Ae`gean	NO
root	`aegis	NO
root	ae`olian	NO
root	`aerate	NO
root	`aerial	NO
root	aer`obic	NO
root	aerody`namic	NO
root	aero`nautic	NO
root	`aeropark	NO
root	`aerosol	NO
root	`aerospace	NO
root	`aesthete	NO
root	a`far	NO
root	`affable	NO
root	af`fair	NO
root	af`fection	NO
root	`affect	NO
root	af`fect	NO
root	`afferent	NO
root	af`fiance	NO
root	affi`davit	NO
root	af`filiate	NO
root	af`fine	NO
root	af`finity	NO
root	af`firm	NO
root	`affix	NO
root	af`fix	NO
root	af`flict	NO
root	`affluent	NO
root	af`ford	NO
root	af`forest	NO
root	`affricate	NO
root	af`fright	NO
root	af`front	NO
root	Af`ghanistan	NO
root	`Afghan	NO
root	aficio`nado	NO
root	a`forehand	NO
root	a`fore	NO
root	a-fortiori	NO
root	a`foul	NO
root	a`fraid	NO
root	`Africa	NO
root	`afro	NO
root	`afterbirth	NO
root	`aftereffect	NO
root	`afterglow	NO
root	`afterimage	NO
root	`afterlife	NO
root	`aftermarket	NO
root	`aftermath	NO
root	`after	NO
root	after`noon	NO
root	`aftershock	NO
root	`aftertaste	NO
root	`afterthought	NO
root	`aftertime	NO
root	`afterward	NO
root	`afterwards	NO
root	`aft	NO
root	a`gain	NO
root	a`gainst	NO
root	`agate	NO
root	a`gave	NO
root	a`genda	NO
root	`age	NO
root	`agent	NO
root	ag`glomerate	NO
root	ag`glutinate	NO
root	ag`glutinin	NO
root	ag`grandise	NO
root	ag`grandize	NO
root	`aggravate	NO
root	`aggregate	NO
root	ag`gression	NO
root	ag`gressive	NO
root	ag`gressor	NO
root	ag`grieve	NO
root	a`ghast	NO
root	`agile	NO
root	`agitate	NO
root	ag`nomen	NO
root	ag`nostic	NO
root	a`gone	NO
root	a`go	NO
root	`agony	NO
root	a`gouti	NO
root	ag`rarian	NO
root	a`gree	NO
root	`agribusiness	NO
root	`agriculture	NO
root	`agrimony	NO
root	a`ground	NO
root	a`gue	NO
root	a`ha	NO
root	a`head	NO
root	a`hem	NO
root	ah	NO
root	a`hoy	NO
root	`aide	NO
root	`aid	NO
root	ai`lanthus	NO
root	`aileron	NO
root	`ail	NO
root	`aim	NO
root	ain't	NO
root	`airbag	NO
root	`airborne	NO
root	`aircraft	NO
root	`airdrop	NO
root	`airfare	NO
root	`airfield	NO
root	`airflow	NO
root	`airfoil	NO
root	`airframe	NO
root	`airlift	NO
root	`airline	NO
root	`airliner	NO
root	`airlock	NO
root	`airmail	NO
root	`airmass	NO
root	`air	NO
root	`airpark	NO
root	`airplane	NO
root	`airport	NO
root	`airspace	NO
root	`airspeed	NO
root	`airstrip	NO
root	`airtight	NO
root	`airway	NO
root	`aisle	NO
root	a`jar	NO
root	a`kimbo	NO
root	a`kin	NO
root	Ala`bama	NO
root	`alabaster	NO
root	a`lacrity	NO
root	a-la-grecque	NO
root	a-la-king	NO
root	a-la-mode	NO
root	a`larm	NO
root	A`laska	NO
root	a`las	NO
root	`albacore	NO
root	Al`bania	NO
root	`Albany	NO
root	`albatross	NO
root	al`beit	NO
root	Al`berta	NO
root	`alb	NO
root	al`bumin	NO
root	`album	NO
root	`Albuquerque	NO
root	`alchemy	NO
root	`alcohol	NO
root	`alcove	NO
root	`aldehyde	NO
root	`alderman	NO
root	`alder	NO
root	`aldrin	NO
root	`ale	NO
root	`aleph	NO
root	a`lert	NO
root	`alewife	NO
root	Alex`andria	NO
root	al`falfa	NO
root	al`fresco	NO
root	`alga	NO
root	`algebra	NO
root	Al`geria	NO
root	Al`giers	NO
root	Al`gonquian	NO
root	Al`gonquin	NO
root	`algorithm	NO
root	`alias	NO
root	`alibi	NO
root	`Alice	NO
root	`alien	NO
root	a`light	NO
root	a`lign	NO
root	`alimony	NO
root	ali`phatic	NO
root	`aliquot	NO
root	a`lizarin	NO
root	`alkali	NO
root	`alkaloid	NO
root	`alkane	NO
root	`alkene	NO
root	`Allah	NO
root	al`lay	NO
root	al`lege	NO
root	`Allegheny	NO
root	al`legiant	NO
root	`allegory	NO
root	al`legro	NO
root	al`lele	NO
root	alle`luia	NO
root	`allergy	NO
root	al`leviate	NO
root	`alley	NO
root	`alleyway	NO
root	`alligator	NO
root	al`literate	NO
root	all	NO
root	`allocate	NO
root	`allomorph	NO
root	`allophone	NO
root	al`lot	NO
root	allo`tropic	NO
root	al`low	NO
root	`alloy	NO
root	`allspice	NO
root	al`lude	NO
root	al`lure	NO
root	al`luvial	NO
root	al`luvium	NO
root	`allyl	NO
root	`ally	NO
root	al`ly	NO
root	`almagest	NO
root	alma-mater	NO
root	`almanac	NO
root	al`mighty	NO
root	`almond	NO
root	al`most	NO
root	`alms	NO
root	`aloe	NO
root	a`loft	NO
root	a`loha	NO
root	a`lone	NO
root	a`long	NO
root	along`side	NO
root	a`loof	NO
root	`alphabet	NO
root	alpha`meric	NO
root	`alpha	NO
root	alphanu`meric	NO
root	`alpine	NO
root	`Alps	NO
root	al`ready	NO
root	Al`sace	NO
root	`also	NO
root	al`taic	NO
root	`altar	NO
root	`altercate	NO
root	`alternant	NO
root	`alternate	NO
root	`alter	NO
root	al`though	NO
root	al`timeter	NO
root	`altitude	NO
root	alto`gether	NO
root	`alto	NO
root	`altruism	NO
root	`altruist	NO
root	a`lumina	NO
root	a`luminate	NO
root	alu`minium	NO
root	a`luminum	NO
root	a`lumna	NO
root	`alum	NO
root	a`lumnus	NO
root	alve`olar	NO
root	alve`olus	NO
root	`alway	NO
root	`always	NO
root	a`lyssum	NO
root	a`main	NO
root	a`malgam	NO
root	ama`nita	NO
root	amanu`ensis	NO
root	`amaranth	NO
root	a`mass	NO
root	`amateur	NO
root	`amatory	NO
root	a`maze	NO
root	`Amazon	NO
root	am`bassador	NO
root	`ambergris	NO
root	`amber	NO
root	`ambiance	NO
root	ambi`dextrous	NO
root	`ambient	NO
root	ambi`guity	NO
root	am`biguous	NO
root	am`bition	NO
root	am`bivalent	NO
root	`amble	NO
root	am`brosial	NO
root	am`brosia	NO
root	`ambulance	NO
root	`ambulant	NO
root	`ambulate	NO
root	`ambuscade	NO
root	`ambush	NO
root	a`meliorate	NO
root	a`menable	NO
root	a`mend	NO
root	a`mends	NO
root	a`menity	NO
root	a`men	NO
root	A`merica	NO
root	a`mericium	NO
root	ame`thystine	NO
root	`amethyst	NO
root	`amiable	NO
root	`amicable	NO
root	`amide	NO
root	a`mid	NO
root	a`midst	NO
root	a`migo	NO
root	a`mino	NO
root	a`miss	NO
root	`amity	NO
root	Am`man	NO
root	`ammeter	NO
root	am`moniac	NO
root	am`monia	NO
root	am`monium	NO
root	`ammo	NO
root	ammu`nition	NO
root	am`nesia	NO
root	`amnesty	NO
root	a`moeba	NO
root	a`mok	NO
root	a`mong	NO
root	a`mongst	NO
root	`amorous	NO
root	a`morphous	NO
root	`amortize	NO
root	a`mount	NO
root	a`mour	NO
root	`ampere	NO
root	`ampersand	NO
root	am`phetamine	NO
root	am`phibian	NO
root	`amphibole	NO
root	amphi`bology	NO
root	`amphitheater	NO
root	`ample	NO
root	`amplitude	NO
root	`amp	NO
root	`amputate	NO
root	ampu`tee	NO
root	`Amsterdam	NO
root	`amulet	NO
root	a`muse	NO
root	a`mygdaloid	NO
root	`Anabaptist	NO
root	a`nachronism	NO
root	anachro`nistic	NO
root	a`nachronous	NO
root	ana`conda	NO
root	anae`robic	NO
root	anaes`thesia	NO
root	anaes`thetic	NO
root	`anaglyph	NO
root	`anagram	NO
root	ana`leptic	NO
root	anal`gesic	NO
root	`analog	NO
root	`analogue	NO
root	a`nalogy	NO
root	`analyse	NO
root	a`nalysis	NO
root	`analyst	NO
root	`analyze	NO
root	ana`morphic	NO
root	a`naphora	NO
root	`anarch	NO
root	`anarchy	NO
root	ana`stigmat	NO
root	anasto`mosis	NO
root	anasto`motic	NO
root	a`nathema	NO
root	a`natomy	NO
root	`ancestor	NO
root	`ancestry	NO
root	`anchor	NO
root	`anchovy	NO
root	`ancient	NO
root	`ancillary	NO
root	`andesite	NO
root	`Andes	NO
root	`andiron	NO
root	and	NO
root	An`dromeda	NO
root	`anecdote	NO
root	a`nemone	NO
root	a`nent	NO
root	anes`thesia	NO
root	anes`thetic	NO
root	a`nesthetize	NO
root	`angel	NO
root	`anger	NO
root	`angiosperm	NO
root	`angle	NO
root	`anglican	NO
root	`anglicise	NO
root	`anglicize	NO
root	`Anglo	NO
root	An`gola	NO
root	`angry	NO
root	`angst	NO
root	`angstrom	NO
root	`anguish	NO
root	anhar`monic	NO
root	an`hydride	NO
root	an`hydrite	NO
root	an`hydrous	NO
root	`aniline	NO
root	animad`version	NO
root	animad`vert	NO
root	`animal	NO
root	`animate	NO
root	`animism	NO
root	ani`mosity	NO
root	a`ni	NO
root	`anion	NO
root	anisei`konic	NO
root	`anise	NO
root	aniso`tropic	NO
root	ani`sotropy	NO
root	`Ankara	NO
root	`ankle	NO
root	`annals	NO
root	An`napolis	NO
root	an`neal	NO
root	`annex	NO
root	an`nex	NO
root	an`nihilate	NO
root	`anniversary	NO
root	Ann	NO
root	an	NO
root	`annotate	NO
root	an`nounce	NO
root	an`noy	NO
root	`annual	NO
root	an`nuity	NO
root	`annular	NO
root	an`nul	NO
root	`annulus	NO
root	`annum	NO
root	an`nunciate	NO
root	a	NO
root	`anode	NO
root	a`noint	NO
root	a`nomaly	NO
root	`anomie	NO
root	a`non	NO
root	ano`nymity	NO
root	a`nonymous	NO
root	ano`rexia	NO
root	a`northic	NO
root	a`northosite	NO
root	a`nother	NO
root	`answer	NO
root	an`tagonism	NO
root	an`tagonist	NO
root	an`tagonize	NO
root	Ant`arctica	NO
root	Ant`arctic	NO
root	`anteater	NO
root	ante`bellum	NO
root	ante`cedent	NO
root	`antelope	NO
root	an`tenna	NO
root	`ante	NO
root	an`terior	NO
root	`anteroom	NO
root	`anthem	NO
root	`anther	NO
root	an`thology	NO
root	`anthracite	NO
root	an`thracnose	NO
root	anthropo`genic	NO
root	anthro`pology	NO
root	anthropo`morphic	NO
root	anthropo`morphism	NO
root	antibi`otic	NO
root	an`ticipate	NO
root	`antic	NO
root	`antidote	NO
root	An`tietam	NO
root	`antigen	NO
root	An`tigua	NO
root	An`tilles	NO
root	`antimony	NO
root	`anti	NO
root	anti`pasto	NO
root	an`tipathy	NO
root	`antiphon	NO
root	anti`podean	NO
root	an`tipodes	NO
root	anti`quarian	NO
root	`antiquate	NO
root	an`tique	NO
root	an`tithesis	NO
root	anti`thetic	NO
root	`antler	NO
root	`ant	NO
root	`antonym	NO
root	`anus	NO
root	`anvil	NO
root	anx`iety	NO
root	`anxious	NO
root	`anybody	NO
root	`anyhow	NO
root	any`more	NO
root	`any	NO
root	`anyone	NO
root	`anyplace	NO
root	`anything	NO
root	`anytime	NO
root	`anyway	NO
root	`anyways	NO
root	`anywhere	NO
root	a`orta	NO
root	a`pace	NO
root	A`pache	NO
root	a`partheid	NO
root	a`partment	NO
root	a`part	NO
root	`apathy	NO
root	`ape	NO
root	`aperture	NO
root	`apex	NO
root	a`phasia	NO
root	a`phelion	NO
root	`aphid	NO
root	`aphorism	NO
root	a-`piece	NO
root	a`piece	NO
root	a`plomb	NO
root	a`pocalypse	NO
root	a`pocrypha	NO
root	`apogee	NO
root	apo`logia	NO
root	a`pology	NO
root	`apoplexy	NO
root	a`postate	NO
root	a-posteriori	NO
root	a`postle	NO
root	a`postrophe	NO
root	a`pothecary	NO
root	`apothegm	NO
root	apothe`osis	NO
root	Appa`lachia	NO
root	ap`pall	NO
root	`appanage	NO
root	appa`ratchik	NO
root	appa`ratus	NO
root	ap`parel	NO
root	ap`parent	NO
root	appa`rition	NO
root	ap`peal	NO
root	ap`pear	NO
root	ap`pease	NO
root	appel`lation	NO
root	ap`pellative	NO
root	ap`pendix	NO
root	ap`pend	NO
root	apper`ception	NO
root	apper`tain	NO
root	`appetite	NO
root	`appetizer	NO
root	`appetizing	NO
root	ap`plaud	NO
root	ap`plause	NO
root	`applejack	NO
root	`apple	NO
root	ap`pliance	NO
root	`applique	NO
root	ap`ply	NO
root	ap`point	NO
root	ap`portion	NO
root	`apposite	NO
root	appo`sition	NO
root	ap`praise	NO
root	ap`preciate	NO
root	appre`hend	NO
root	ap`prentice	NO
root	ap`prise	NO
root	ap`proach	NO
root	`approbate	NO
root	ap`propriate	NO
root	ap`prove	NO
root	ap`proximant	NO
root	ap`proximate	NO
root	`apricot	NO
root	`April	NO
root	a-priori	NO
root	`apron	NO
root	apro`pos	NO
root	`apse	NO
root	`aptitude	NO
root	`apt	NO
root	`aqua	NO
root	a`quarium	NO
root	A`quarius	NO
root	a`quatic	NO
root	`aqueduct	NO
root	`aqueous	NO
root	`aquifer	NO
root	ara`besque	NO
root	A`rabia	NO
root	`arable	NO
root	`Arab	NO
root	a`rachnid	NO
root	`arbiter	NO
root	`arbitrage	NO
root	`arbitrary	NO
root	`arbitrate	NO
root	ar`boreal	NO
root	arbo`retum	NO
root	`arbor	NO
root	ar`cade	NO
root	ar`cana	NO
root	ar`cane	NO
root	arc`cosine	NO
root	archae`ology	NO
root	ar`chaic	NO
root	ar`chaism	NO
root	arche`ology	NO
root	`archery	NO
root	`archetype	NO
root	archi`pelago	NO
root	`architect	NO
root	architec`tonic	NO
root	`architecture	NO
root	`archive	NO
root	`arch	NO
root	`arc	NO
root	arc`sine	NO
root	arc`tangent	NO
root	`arctic	NO
root	`ardent	NO
root	`ardor	NO
root	`ardour	NO
root	`arduous	NO
root	`area	NO
root	`areaway	NO
root	`areawide	NO
root	are`naceous	NO
root	a`rena	NO
root	Argen`tina	NO
root	argil`laceous	NO
root	`argon	NO
root	`argosy	NO
root	`argot	NO
root	`argue	NO
root	`arhat	NO
root	`arid	NO
root	`Aries	NO
root	a`right	NO
root	a`rise	NO
root	a`ristocrat	NO
root	`Aristotle	NO
root	a`rithmetic	NO
root	Ari`zona	NO
root	`Arkansas	NO
root	`ark	NO
root	ar`mada	NO
root	arma`dillo	NO
root	Arma`geddon	NO
root	`armament	NO
root	`armature	NO
root	`armchair	NO
root	Ar`menia	NO
root	`armhole	NO
root	`armistice	NO
root	`armload	NO
root	`arm	NO
root	ar`moire	NO
root	`armor	NO
root	`armour	NO
root	`armpit	NO
root	`army	NO
root	a`roma	NO
root	a`round	NO
root	a`rouse	NO
root	ar`peggio	NO
root	`arrack	NO
root	a`rraign	NO
root	ar`range	NO
root	`arrant	NO
root	ar`ray	NO
root	ar`rear	NO
root	ar`rears	NO
root	ar`rest	NO
root	ar`rive	NO
root	`arrogant	NO
root	`arrogate	NO
root	`arrowhead	NO
root	`arrow	NO
root	ar`royo	NO
root	`arsenal	NO
root	`arsenic	NO
root	`arsenide	NO
root	ar`sine	NO
root	`arson	NO
root	`artefact	NO
root	arte`misia	NO
root	ar`teriole	NO
root	arterio`sclerosis	NO
root	`artery	NO
root	arth`ritis	NO
root	`artichoke	NO
root	`article	NO
root	ar`ticulate	NO
root	`artifact	NO
root	`artifice	NO
root	ar`tillery	NO
root	`artisan	NO
root	`art	NO
root	`artwork	NO
root	`arum	NO
root	`Aryan	NO
root	`aryl	NO
root	as`bestos	NO
root	as`cend	NO
root	as`cent	NO
root	ascer`tain	NO
root	as`cetic	NO
root	as`cribe	NO
root	`ash	NO
root	a`shore	NO
root	`ashtray	NO
root	`Asia	NO
root	a`side	NO
root	`asinine	NO
root	a`skance	NO
root	a`skew	NO
root	`ask	NO
root	a`slant	NO
root	as	NO
root	as`paragus	NO
root	`aspect	NO
root	`aspen	NO
root	as`perity	NO
root	as`persion	NO
root	`asphalt	NO
root	as`phyxiate	NO
root	`aspirant	NO
root	`aspirate	NO
root	as`pire	NO
root	`aspirin	NO
root	as`sail	NO
root	as`sai	NO
root	as`sassin	NO
root	as`sault	NO
root	as`say	NO
root	as`semble	NO
root	as`sent	NO
root	as`sert	NO
root	as`sess	NO
root	`asset	NO
root	assi`duity	NO
root	as`siduous	NO
root	as`sign	NO
root	as`similate	NO
root	as`sist	NO
root	`ass	NO
root	as`sociate	NO
root	`assonant	NO
root	as`sort	NO
root	as`suage	NO
root	as`sume	NO
root	as`sure	NO
root	As`syria	NO
root	assyri`ology	NO
root	`astatine	NO
root	`asterisk	NO
root	`aster	NO
root	`asteroid	NO
root	`asthma	NO
root	as`tigmatism	NO
root	as`tonish	NO
root	as`tound	NO
root	a`straddle	NO
root	`astral	NO
root	a`stray	NO
root	a`stride	NO
root	`astringent	NO
root	as`tringent	NO
root	as`trolog	NO
root	`astronaut	NO
root	as`tronom	NO
root	as`tronomy	NO
root	`astrophysics	NO
root	as`tute	NO
root	a`sunder	NO
root	a`sylum	NO
root	`asymptote	NO
root	a`synchrony	NO
root	`atavism	NO
root	ata`vistic	NO
root	Atha`bascan	NO
root	`atheism	NO
root	`atheist	NO
root	`Atheling	NO
root	`Athens	NO
root	atheroscler`osis	NO
root	a`thirst	NO
root	`athlete	NO
root	ath`wart	NO
root	At`lanta	NO
root	at`lantes	NO
root	at`lantic	NO
root	At`lantic	NO
root	At`lantis	NO
root	`atlas	NO
root	`atmosphere	NO
root	at	NO
root	`atoll	NO
root	`atom	NO
root	a`tone	NO
root	a`top	NO
root	`atrium	NO
root	a`trocious	NO
root	a`trocity	NO
root	`atrophy	NO
root	atta`che	NO
root	at`tach	NO
root	at`tack	NO
root	at`tainder	NO
root	at`tain	NO
root	at`tempt	NO
root	at`tend	NO
root	at`tenuate	NO
root	at`test	NO
root	`attic	NO
root	at`tire	NO
root	`attitude	NO
root	at`torney	NO
root	at`tract	NO
root	`attribute	NO
root	at`tribute	NO
root	at`trition	NO
root	at`tune	NO
root	`auburn	NO
root	au-contraire	NO
root	au-courant	NO
root	`auction	NO
root	au`dacious	NO
root	au`dacity	NO
root	`audible	NO
root	`audience	NO
root	`audio	NO
root	`audiotape	NO
root	audio`visual	NO
root	au`dition	NO
root	`audit	NO
root	audi`torium	NO
root	`auditory	NO
root	`augend	NO
root	`auger	NO
root	`aught	NO
root	aug`ment	NO
root	`augur	NO
root	Au`gusta	NO
root	`Augustine	NO
root	au`gust	NO
root	`August	NO
root	Au`gustus	NO
root	`aunt	NO
root	`aural	NO
root	`aura	NO
root	aure`ola	NO
root	`aureole	NO
root	`auric	NO
root	au`rora	NO
root	`Auschwitz	NO
root	`auspices	NO
root	aus`picious	NO
root	aus`tere	NO
root	`Austin	NO
root	Aus`tralia	NO
root	`Austria	NO
root	au`thentic	NO
root	`authorise	NO
root	au`thority	NO
root	`authorize	NO
root	`author	NO
root	`autism	NO
root	au`tistic	NO
root	`autoclave	NO
root	`autocrat	NO
root	`autograph	NO
root	`automate	NO
root	auto`matic	NO
root	au`tomaton	NO
root	`automobile	NO
root	auto`morphic	NO
root	auto`morphism	NO
root	`auto	NO
root	au`tonomic	NO
root	au`tonomous	NO
root	au`tonomy	NO
root	`autopsy	NO
root	`autumn	NO
root	aux`iliary	NO
root	a`vail	NO
root	`avalanche	NO
root	avant-`garde	NO
root	`avarice	NO
root	a`vast	NO
root	`avatar	NO
root	a`venge	NO
root	`avenue	NO
root	`average	NO
root	a`ver	NO
root	a`verse	NO
root	a`version	NO
root	a`vert	NO
root	`aviary	NO
root	`aviate	NO
root	`aviatrix	NO
root	`avid	NO
root	avi`onic	NO
root	avo`cado	NO
root	avo`cation	NO
root	a`void	NO
root	a`vow	NO
root	a`vuncular	NO
root	a`wait	NO
root	a`waken	NO
root	a`wake	NO
root	a`ward	NO
root	a`ware	NO
root	a`wash	NO
root	a`way	NO
root	`awe	NO
root	`awestricken	NO
root	`awestruck	NO
root	`awful	NO
root	a`while	NO
root	`awkward	NO
root	`awl	NO
root	`awning	NO
root	a`wry	NO
root	`axe	NO
root	axi`ology	NO
root	`axiom	NO
root	`axis	NO
root	`axle	NO
root	`ax	NO
root	`axon	NO
root	aye	NO
root	ay	NO
root	a`zalea	NO
root	`Azerbaijan	NO
root	`azimuth	NO
root	`Azore	NO
root	`Aztec	NO
root	`azure	NO
root	`babble	NO
root	`Babel	NO
root	`babe	NO
root	ba`boon	NO
root	`Babylon	NO
root	`baby	NO
root	`babysit	NO
root	bacca`laureate	NO
root	`baccarat	NO
root	baccha`nalia	NO
root	`bachelor	NO
root	ba`cillus	NO
root	`backache	NO
root	`backbite	NO
root	`backboard	NO
root	`backbone	NO
root	`backdrop	NO
root	`backfill	NO
root	`backgammon	NO
root	`background	NO
root	`backhand	NO
root	`backlash	NO
root	`backlog	NO
root	`back	NO
root	`backorder	NO
root	`backpack	NO
root	`backplane	NO
root	`backplate	NO
root	`backscatter	NO
root	`backside	NO
root	`backslash	NO
root	`backspace	NO
root	back`stage	NO
root	`backstitch	NO
root	`backstop	NO
root	`backtrack	NO
root	`backup	NO
root	`backwater	NO
root	back`wood	NO
root	back`yard	NO
root	`bacon	NO
root	bac`teria	NO
root	bac`terium	NO
root	`badge	NO
root	`badger	NO
root	`badinage	NO
root	`badland	NO
root	`badminton	NO
root	`bad	NO
root	`baffle	NO
root	baga`telle	NO
root	`bagel	NO
root	`Baghdad	NO
root	`bag	NO
root	`bagpipe	NO
root	Ba`ha'i	NO
root	Ba`hamas	NO
root	bah	NO
root	Bah`rain	NO
root	`bailiff	NO
root	`bail	NO
root	`bailout	NO
root	`bait	NO
root	`bake	NO
root	bak`lava	NO
root	`balance	NO
root	`balcony	NO
root	`bald	NO
root	`baldpate	NO
root	ba`leen	NO
root	`bale	NO
root	`Bali	NO
root	`Balkan	NO
root	`balk	NO
root	`ballad	NO
root	`ballast	NO
root	balle`rina	NO
root	bal`let	NO
root	`ballfield	NO
root	bal`listic	NO
root	`ball	NO
root	bal`loon	NO
root	`ballot	NO
root	`ballroom	NO
root	`ballyhoo	NO
